Name,Path,Data Type,Logical Address,Comment
"Botao_sobe_1","Default tag table","Bool","%I0.0","Botão de impulso contato N.O. painel de comando no 1º pavimento"
"Botao_desce_1","Default tag table","Bool","%I0.1","Botão de impulso contato N.O. painel de comando no 1º pavimento"
"Fim_de_curso_da_cabine_1","Default tag table","Bool","%I0.2","Chave fim de curso contato N.C. posição da cabine no 1º pavimento"
"Fim_de_curso_da_porta_1","Default tag table","Bool","%I0.3","Chave fim de curso contato N.O. posição da porta no 1º pavimento"
"Botao_sobe_2","Default tag table","Bool","%I0.4","Botão de impulso contato N.O. painel de comando no 2º pavimento"
"Botao_desce_2","Default tag table","Bool","%I0.5","Botão de impulso contato N.O. painel de comando no 2º pavimento"
"Fim_de_curso_da_cabine_2","Default tag table","Bool","%I0.6","Chave fim de curso contato N.C. posição da cabine no 2º pavimento"
"Fim_de_curso_da_porta_2","Default tag table","Bool","%I0.7","Chave fim de curso contato N.O. posição da porta no 2º pavimento"
"Motor_1_sobe","Default tag table","Bool","%Q0.0","Motor com sentido de rotação para subir a cabine (horário)"
"Motor_1_desce","Default tag table","Bool","%Q0.1","Motor com sentido de rotação para descer a cabine (anti-horário)"
"Tranca_magnetica_da_porta_1","Default tag table","Bool","%Q0.2","Tranca magnética da porta do 1º pavimento"
"Tranca_magnetica_da_porta_2","Default tag table","Bool","%Q0.3","Tranca magnética da porta do 2º pavimento"
"Cabine_Andar_1","Default tag table","Bool","%M0.0","Status interno: Cabine posicionada no 1º pavimento"
"Cabine_Andar_2","Default tag table","Bool","%M0.1","Status interno: Cabine posicionada no 2º pavimento"
"Portas_Fechadas","Default tag table","Bool","%M0.2","Condição de segurança: Ambas as portas fechadas"
"Em_Movimento","Default tag table","Bool","%M0.3","Status interno: Motor em operação (subindo ou descendo)"
